»’∆⁄,◊Ó∏ﬂ∆¯Œ¬,◊ÓµÕ∆¯Œ¬,ÃÏ∆¯
2023-01-01,17,8,ŒÌ
2023-01-02,18,6,ŒÌ
2023-01-03,20,5,∂‡‘∆
2023-01-04,21,7,ŒÌ
2023-01-05,22,7,ŒÌ
2023-01-06,21,7,«Á
2023-01-07,19,6,«Á
2023-01-08,20,5,«Á
2023-01-09,20,6,ŒÌ
2023-01-10,21,5,∂‡‘∆
2023-01-11,20,7,ŒÌ
2023-01-12,22,7,«Á
2023-01-13,24,8,«Á
2023-01-14,21,5,«Á
2023-01-15,21,5,∂‡‘∆
2023-01-16,19,7,“ı
2023-01-17,22,7,«Á
2023-01-18,18,6,«Á
2023-01-19,21,6,∂‡‘∆
2023-01-20,22,7,∂‡‘∆
2023-01-21,26,8,«Á
2023-01-22,25,9,∂‡‘∆
2023-01-23,23,7,∂‡‘∆
2023-01-24,10,6,∂‡‘∆
2023-01-25,20,10,∂‡‘∆
2023-01-26,26,6,ŒÌ
2023-01-27,10,9,∂‡‘∆
2023-01-28,10,9,∂‡‘∆
2023-01-29,17,7,ŒÌ
2023-01-30,18,6,∂‡‘∆
2023-01-31,25,7,∂‡‘∆
2023-02-01,28,10,∂‡‘∆
2023-02-02,23,11,∂‡‘∆
2023-02-03,27,11,∂‡‘∆
2023-02-04,26,8,«Á
2023-02-05,26,9,«Á
2023-02-06,24,9,«Á
2023-02-07,24,8,∂‡‘∆
2023-02-08,24,8,«Á
2023-02-09,23,9,«Á
2023-02-10,25,8,«Á
2023-02-11,26,9,«Á
2023-02-12,26,11,«Á
2023-02-13,26,9,«Á
2023-02-14,24,10,«Á
2023-02-15,25,11,∂‡‘∆
2023-02-16,25,12,∂‡‘∆
2023-02-17,24,10,∂‡‘∆
2023-02-18,26,12,∂‡‘∆
2023-02-19,24,12,∂‡‘∆
2023-02-20,26,12,«Á
2023-02-21,27,13,∂‡‘∆
2023-02-22,27,13,«Á
2023-02-23,26,12,∂‡‘∆
2023-02-24,21,12,∂‡‘∆
2023-02-25,17,12,∂‡‘∆
2023-02-26,20,11,∂‡‘∆
2023-02-27,22,11,∂‡‘∆
2023-02-28,23,10,ŒÌ
2023-03-01,25,12,«Á
2023-03-02,27,11,«Á
2023-03-03,25,12,«Á~∂‡‘∆
2023-03-04,26,12,∂‡‘∆~«Á
2023-03-05,27,13,«Á
2023-03-06,29,14,∂‡‘∆~«Á
2023-03-07,29,14,∂‡‘∆~«Á
2023-03-08,28,14,«Á~∂‡‘∆
2023-03-09,28,15,∂‡‘∆~«Á
2023-03-10,31,14,«Á~∂‡‘∆
2023-03-11,29,15,∂‡‘∆~“ı
2023-03-12,26,11,∂‡‘∆~“ı
2023-03-13,22,12,∂‡‘∆~«Á
2023-03-14,28,13,«Á
2023-03-15,29,15,∂‡‘∆~“ı
2023-03-16,28,14,∂‡‘∆
2023-03-17,28,15,∂‡‘∆
2023-03-18,30,16,∂‡‘∆
2023-03-19,30,16,∂‡‘∆
2023-03-20,29,16,∂‡‘∆~“ı
2023-03-21,28,14,∂‡‘∆~«Á
2023-03-22,27,14,∂‡‘∆~«Á
2023-03-23,28,15,«Á
2023-03-24,29,15,∂‡‘∆~«Á
2023-03-25,29,15,«Á
2023-03-26,29,16,«Á
2023-03-27,29,18,∂‡‘∆
2023-03-28,28,24,∂‡‘∆~«Á
2023-03-29,28,14,«Á
2023-03-30,29,16,«Á
2023-03-31,30,17,«Á~∂‡‘∆
2023-04-01,31,16,∂‡‘∆
2023-04-02,29,18,∂‡‘∆
2023-04-03,29,15,∂‡‘∆~«Á
2023-04-04,30,15,«Á
2023-04-05,32,16,«Á
2023-04-06,31,16,«Á~“ı
2023-04-07,33,17,∂‡‘∆~«Á
2023-04-08,32,17,«Á
2023-04-09,34,16,«Á
2023-04-10,34,17,∂‡‘∆~«Á
2023-04-11,34,21,∂‡‘∆~«Á
2023-04-12,34,19,«Á
2023-04-13,34,18,«Á
2023-04-14,32,19,«Á~∂‡‘∆
2023-04-15,32,21,∂‡‘∆
2023-04-16,35,20,∂‡‘∆~“ı
2023-04-17,35,19,∂‡‘∆~«Á
2023-04-18,35,23,∂‡‘∆~«Á
2023-04-19,35,21,∂‡‘∆~«Á
2023-04-20,34,23,«Á
2023-04-21,33,23,«Á
2023-04-22,33,22,∂‡‘∆
2023-04-23,32,19,∂‡‘∆
2023-04-24,33,21,∂‡‘∆~«Á
2023-04-25,32,20,∂‡‘∆~«Á
2023-04-26,32,20,∂‡‘∆
2023-04-27,34,19,∂‡‘∆~«Á
2023-04-28,32,18,∂‡‘∆~–°”Í
2023-04-29,29,18,∂‡‘∆~“ı
2023-04-30,29,19,∂‡‘∆
2023-05-01,31,17,∂‡‘∆~“ı
2023-05-02,31,19,∂‡‘∆~«Á
2023-05-03,35,22,∂‡‘∆
2023-05-04,36,21,∂‡‘∆
2023-05-05,37,22,«Á
2023-05-06,37,22,«Á
2023-05-07,35,23,«Á
2023-05-08,37,21,«Á
2023-05-09,35,21,∂‡‘∆~«Á
2023-05-10,34,22,«Á
2023-05-11,33,19,«Á~–°”Í
2023-05-12,33,21,∂‡‘∆~¥Û”Í
2023-05-13,25,18,∂‡‘∆~–°”Í
2023-05-14,23,17,ŒÌ~÷–”Í
2023-05-15,18,15,–°”Í
2023-05-16,30,17,∂‡‘∆~«Á
2023-05-17,34,20,«Á
2023-05-18,36,19,∂‡‘∆~«Á
2023-05-19,35,22,«Á~∂‡‘∆
2023-05-20,36,21,«Á
2023-05-21,37,23,«Á
2023-05-22,37,22,«Á
2023-05-23,37,23,«Á~∂‡‘∆
2023-05-24,37,23,«Á~∂‡‘∆
